City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Inhambane,MZ,80.58,few clouds,-23.865,35.3833,Oceano
277,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
278,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
279,Bambanglipuro,ID,85.33,overcast clouds,-7.95,110.2833,Puri Brata
284,Dingle,PH,84.52,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
288,Kalemie,CD,71.24,overcast clouds,-5.9475,29.1947,Mahobilali
290,Farakka,IN,87.21,clear sky,24.8167,87.9,Md Ayub sk pancantar
292,Tanout,NE,72.64,broken clouds,14.9709,8.8879,
293,Srandakan,ID,85.46,overcast clouds,-7.9386,110.2506,Puri Brata
294,Beloha,MG,80.64,broken clouds,-25.1667,45.05,
296,Dubbo,AU,86.13,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
297,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
298,Kolda,SN,71.91,clear sky,12.8833,-14.95,Hôtel Hobbe Chasse
299,Mandera,KE,89.4,clear sky,3.9366,41.867,Mwalimu Guest mandera
302,Buala,SB,81.05,light rain,-8.145,159.5921,Maringe Lagoon Lodge
311,Karwar,IN,90.34,broken clouds,14.8,74.1333,Netalco Connects
312,Cabo San Lucas,MX,71.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
314,Asosa,ET,83.91,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
317,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
321,Bandarbeyla,SO,80.47,clear sky,9.4942,50.8122,JABIR HOTEL
322,Camopi,GF,70.81,overcast clouds,3.1655,-52.3158,La pousada
323,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
324,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
328,Quelimane,MZ,76.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
331,Fenoarivo,MG,71.67,broken clouds,-18.933,47.4354,Skyfol Ambodiafontsy
334,Cap Malheureux,MU,82.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
337,Balkanabat,TM,70.65,scattered clouds,39.5108,54.3671,Nebitchi Hotel
338,Mount Darwin,ZW,75.0,scattered clouds,-16.7725,31.5838,
341,Poso,ID,85.42,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
345,Matara,LK,86.79,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
346,Santa Cruz,BO,74.66,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
351,Kalmunai,LK,81.03,overcast clouds,7.4167,81.8167,VS Villa
353,Punta De Piedra,VE,76.32,broken clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
355,Port Keats,AU,87.42,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
368,Zvishavane,ZW,78.26,clear sky,-20.3267,30.0665,Hotel Boutique Runde
