City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
89,Erice,IT,2022-03-03 06:29:00,38.037,12.5865,38.03,74,73,4.79,broken clouds
90,Dickinson,US,2022-03-03 06:29:00,29.4608,-95.0513,60.94,90,0,0.0,clear sky
91,Dikson,RU,2022-03-03 06:29:01,73.5069,80.5464,-8.18,95,100,9.73,overcast clouds
92,Zhongxing,CN,2022-03-03 06:29:01,33.7039,118.6792,65.05,23,0,8.25,clear sky
93,Tiksi,RU,2022-03-03 06:29:02,71.6872,128.8694,-19.95,100,94,3.18,overcast clouds
94,Hambantota,LK,2022-03-03 06:29:02,6.1241,81.1185,89.35,49,97,12.62,light rain
95,Itarema,BR,2022-03-03 06:29:03,-2.9248,-39.9167,77.86,85,79,7.65,broken clouds
96,Borba,BR,2022-03-03 06:29:03,-4.3878,-59.5939,72.82,98,100,1.54,overcast clouds
97,Mercedes,AR,2022-03-03 06:29:04,-34.6515,-59.4307,66.63,85,0,8.5,clear sky
98,Atuona,PF,2022-03-03 06:29:05,-9.8,-139.0333,78.69,78,12,20.6,light rain
99,Bilma,NE,2022-03-03 06:29:05,18.6853,12.9164,66.34,19,19,10.56,few clouds
100,Sidney,AU,2022-03-03 06:28:26,-33.8679,151.2073,74.53,92,75,24.16,light rain
101,Vanavara,RU,2022-03-03 06:29:06,60.34,102.2797,9.57,87,100,12.33,overcast clouds
102,Ceatalchioi,RO,2022-03-03 06:29:07,45.2886,28.7937,34.52,89,100,14.79,overcast clouds
103,Makat,KZ,2022-03-03 06:29:07,47.6469,53.3463,42.89,70,40,13.24,scattered clouds
104,Streator,US,2022-03-03 06:29:08,41.1209,-88.8354,39.0,82,73,1.99,broken clouds
105,Lebu,CL,2022-03-03 06:29:08,-37.6167,-73.65,60.76,92,92,14.52,overcast clouds
106,East London,ZA,2022-03-03 06:29:10,-33.0153,27.9116,70.74,78,20,12.66,few clouds
107,Praia Da Vitoria,PT,2022-03-03 06:29:10,38.7333,-27.0667,51.76,100,20,5.35,few clouds
108,Ketchikan,US,2022-03-03 06:29:11,55.3422,-131.6461,42.78,87,100,8.05,overcast clouds
109,Sindor,RU,2022-03-03 06:29:11,62.8629,51.8905,24.48,96,100,4.92,overcast clouds
110,Sherbakul,RU,2022-03-03 06:29:12,54.6316,72.3963,19.08,88,74,15.1,broken clouds
111,Egvekinot,RU,2022-03-03 06:29:13,66.3167,-179.1667,1.81,86,5,9.31,clear sky
112,Shelburne,CA,2022-03-03 06:29:13,44.0787,-80.2041,19.29,76,82,16.58,broken clouds
113,Sao Joao Da Barra,BR,2022-03-03 06:27:36,-21.6403,-41.0511,75.22,90,2,11.45,clear sky
114,Saint George,US,2022-03-03 06:24:56,37.1041,-113.5841,59.54,34,0,0.0,clear sky
115,Madang,PG,2022-03-03 06:29:14,-5.2246,145.7966,84.52,73,49,7.14,light rain
116,Ardakan,IR,2022-03-03 06:29:15,32.31,54.0175,61.18,18,37,7.07,scattered clouds
117,Glarus,CH,2022-03-03 06:29:15,47.0406,9.068,34.66,64,43,4.7,scattered clouds
118,Kruisfontein,ZA,2022-03-03 06:29:16,-34.0033,24.7314,70.88,60,0,5.17,clear sky
119,Namatanai,PG,2022-03-03 06:29:17,-3.6667,152.4333,84.52,72,89,4.99,overcast clouds
120,Berlevag,NO,2022-03-03 06:29:17,70.8578,29.0864,31.95,80,75,31.07,broken clouds
121,Glenluce,GB,2022-03-03 06:29:18,54.8798,-4.8084,44.29,96,100,21.09,overcast clouds
122,Kavieng,PG,2022-03-03 06:29:18,-2.5744,150.7967,84.27,70,98,4.56,overcast clouds
123,Dakar,SN,2022-03-03 06:29:19,14.6937,-17.4441,65.28,94,0,11.5,clear sky
124,Kafanchan,NG,2022-03-03 06:29:20,9.5833,8.3,71.13,47,63,0.67,broken clouds
125,Ust-Kulom,RU,2022-03-03 06:29:20,61.6864,53.6902,26.37,96,100,5.17,overcast clouds
126,Mar Del Plata,AR,2022-03-03 06:26:10,-38.0023,-57.5575,57.87,78,0,4.61,clear sky
127,Provideniya,RU,2022-03-03 06:29:21,64.3833,-173.3,11.73,93,44,11.45,scattered clouds
128,Betioky,MG,2022-03-03 06:29:21,-23.7167,44.3833,79.38,73,55,2.98,broken clouds
129,Luleburgaz,TR,2022-03-03 06:29:22,41.4039,27.3592,36.77,80,65,5.82,broken clouds
130,Saint-Philippe,RE,2022-03-03 06:29:22,-21.3585,55.7679,85.55,86,40,10.49,light rain
131,Fort Nelson,CA,2022-03-03 06:29:23,58.8053,-122.7002,8.19,85,100,4.61,light snow
132,Soyo,AO,2022-03-03 06:29:24,-6.1349,12.3689,79.97,88,98,3.67,light rain
133,The Valley,AI,2022-03-03 06:29:25,18.217,-63.0578,76.86,79,8,14.14,clear sky
134,Makakilo City,US,2022-03-03 06:29:25,21.3469,-158.0858,75.52,74,0,10.36,clear sky
135,Port Elizabeth,ZA,2022-03-03 06:29:26,-33.918,25.5701,73.69,60,0,10.36,clear sky
136,Mahebourg,MU,2022-03-03 06:29:26,-20.4081,57.7,82.26,100,75,13.8,broken clouds
137,Poum,NC,2022-03-03 06:29:27,-20.2333,164.0167,82.18,75,100,9.01,overcast clouds
138,Kabare,CD,2022-03-03 06:29:28,-2.4683,28.8242,65.57,87,70,1.7,broken clouds
139,Strasice,CZ,2022-03-03 06:29:29,49.7355,13.7576,31.75,59,51,1.43,broken clouds
140,Werda,BW,2022-03-03 06:29:29,-25.2667,23.2833,74.62,61,46,15.14,scattered clouds
141,Hasaki,JP,2022-03-03 06:29:30,35.7333,140.8333,59.29,66,76,8.05,broken clouds
142,Kompaniyivka,UA,2022-03-03 06:29:31,48.2511,32.208,33.8,93,100,8.23,overcast clouds
