City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Oranjemund,NA,2022-03-01 19:13:57,-28.55,16.4333,67.44,78,0,6.44
226,Broome,US,2022-03-01 19:13:57,42.2506,-75.833,43.63,64,100,9.22
227,Itacare,BR,2022-03-01 19:13:58,-14.2775,-38.9967,81.97,63,100,7.81
228,Karpathos,GR,2022-03-01 19:13:58,35.507,27.2132,53.56,87,100,4.61
229,Trincomalee,LK,2022-03-01 19:13:59,8.5711,81.2335,80.96,66,97,17.78
230,Lahij,YE,2022-03-01 19:13:59,13.1667,44.5833,73.62,71,25,5.26
231,Souillac,MU,2022-03-01 19:14:59,-20.5167,57.5167,81.36,83,75,11.5
232,Cherskiy,RU,2022-03-01 19:15:00,68.75,161.3,-16.82,100,96,7.18
233,Blagoyevo,RU,2022-03-01 19:15:01,63.3667,47.9167,28.58,93,100,7.18
234,College,US,2022-03-01 19:15:01,64.8569,-147.8028,18.9,85,100,0.0
235,Kribi,CM,2022-03-01 19:15:02,2.95,9.9167,81.9,81,100,11.74
236,Swellendam,ZA,2022-03-01 19:15:02,-34.0226,20.4417,68.38,77,89,5.64
237,Markova,UA,2022-03-01 19:15:03,48.6758,24.4138,25.29,96,100,2.68
238,Narsaq,GL,2022-03-01 19:15:04,60.9167,-46.05,26.82,44,100,31.09
239,Sechura,PE,2022-03-01 19:15:04,-5.5569,-80.8222,84.78,53,79,15.68
240,San Rafael Del Sur,NI,2022-03-01 19:15:05,11.8485,-86.4384,88.77,33,0,13.73
241,Auki,SB,2022-03-01 19:15:05,-8.7676,160.7034,77.49,86,69,3.96
242,East London,ZA,2022-03-01 19:15:06,-33.0153,27.9116,76.96,84,100,20.04
243,Naryan-Mar,RU,2022-03-01 19:15:06,67.6713,53.087,10.6,95,100,7.72
244,Provideniya,RU,2022-03-01 19:15:06,64.3833,-173.3,16.68,96,80,7.96
245,Nouadhibou,MR,2022-03-01 19:15:07,20.931,-17.0347,67.98,77,0,21.85
